height,c,L,size,attack_cost
904000,0.2,100,626157,1093
904000,0.2,100,631525,1093
904000,0.2,100,629085,1093
904000,0.2,100,624205,1093
904000,0.2,100,625425,1093
904000,0.2,100,628353,1093
904000,0.2,100,631525,1093
904000,0.2,100,625913,1093
904000,0.2,100,632257,1093
904000,0.2,100,635917,1093
904000,0.2,100,620545,1093
904000,0.2,100,626889,1093
904000,0.2,100,634941,1093
904000,0.2,100,630793,1093
904000,0.2,100,627133,1093
904000,0.2,100,633477,1093
904000,0.2,100,628353,1093
904000,0.2,100,627133,1093
904000,0.2,100,629573,1093
904000,0.2,100,626889,1093
904000,0.2,100,635185,1093
904000,0.2,100,626401,1093
904000,0.2,100,625181,1093
904000,0.2,100,632989,1093
904000,0.2,100,632501,1093
904000,0.2,100,631769,1093
904000,0.2,100,626401,1093
904000,0.2,100,625425,1093
904000,0.2,100,635673,1093
904000,0.2,100,626645,1093
904000,0.2,144,700849,1574
904000,0.2,144,701093,1574
904000,0.2,144,698897,1574
904000,0.2,144,699385,1574
904000,0.2,144,693773,1574
904000,0.2,144,706705,1574
904000,0.2,144,695725,1574
904000,0.2,144,706949,1574
904000,0.2,144,700361,1574
904000,0.2,144,700361,1574
904000,0.2,144,711341,1574
904000,0.2,144,701825,1574
904000,0.2,144,704265,1574
904000,0.2,144,704997,1574
904000,0.2,144,694017,1574
904000,0.2,144,699385,1574
904000,0.2,144,697189,1574
904000,0.2,144,697677,1574
904000,0.2,144,705241,1574
904000,0.2,144,702069,1574
904000,0.2,144,700605,1574
904000,0.2,144,700605,1574
904000,0.2,144,704509,1574
904000,0.2,144,694017,1574
904000,0.2,144,702557,1574
904000,0.2,144,700849,1574
904000,0.2,144,699873,1574
904000,0.2,144,704509,1574
904000,0.2,144,697189,1574
904000,0.2,144,699141,1574
904000,0.2,192,789047,2099
904000,0.2,192,776603,2099
904000,0.2,192,781239,2099
904000,0.2,192,785143,2099
904000,0.2,192,787339,2099
904000,0.2,192,783923,2099
904000,0.2,192,787095,2099
904000,0.2,192,784411,2099
904000,0.2,192,781239,2099
904000,0.2,192,798563,2099
904000,0.2,192,777335,2099
904000,0.2,192,781727,2099
904000,0.2,192,786119,2099
904000,0.2,192,790755,2099
904000,0.2,192,787583,2099
904000,0.2,192,787339,2099
904000,0.2,192,787339,2099
904000,0.2,192,787339,2099
904000,0.2,192,783191,2099
904000,0.2,192,784167,2099
904000,0.2,192,790267,2099
904000,0.2,192,787095,2099
904000,0.2,192,781971,2099
904000,0.2,192,783923,2099
904000,0.2,192,784655,2099
904000,0.2,192,783435,2099
904000,0.2,192,783435,2099
904000,0.2,192,783435,2099
904000,0.2,192,780263,2099
904000,0.2,192,790511,2099
904000,0.2,240,869980,2624
904000,0.2,240,870712,2624
904000,0.2,240,874616,2624
904000,0.2,240,864612,2624
904000,0.2,240,871932,2624
904000,0.2,240,874372,2624
904000,0.2,240,876324,2624
904000,0.2,240,871932,2624
904000,0.2,240,866320,2624
904000,0.2,240,874616,2624
904000,0.2,240,870956,2624
904000,0.2,240,876324,2624
904000,0.2,240,866320,2624
904000,0.2,240,879008,2624
904000,0.2,240,869736,2624
904000,0.2,240,871200,2624
904000,0.2,240,873884,2624
904000,0.2,240,869736,2624
904000,0.2,240,873640,2624
904000,0.2,240,875836,2624
904000,0.2,240,874128,2624
904000,0.2,240,874128,2624
904000,0.2,240,877300,2624
904000,0.2,240,865588,2624
904000,0.2,240,860708,2624
904000,0.2,240,875348,2624
904000,0.2,240,867540,2624
904000,0.2,240,872908,2624
904000,0.2,240,875592,2624
904000,0.2,240,871444,2624
904000,0.35,100,846164,1913
904000,0.35,100,840308,1913
904000,0.35,100,847140,1913
904000,0.35,100,848604,1913
904000,0.35,100,839820,1913
904000,0.35,100,832744,1913
904000,0.35,100,844700,1913
