,height,c,L,size
15119,904000,0.2,100,619813
15118,904000,0.2,100,629573
15117,904000,0.2,100,631037
15116,904000,0.2,100,617617
15115,904000,0.2,100,616397
15114,904000,0.2,100,624937
15113,904000,0.2,100,619325
15112,904000,0.2,100,625913
15111,904000,0.2,100,623229
15110,904000,0.2,100,622741
15109,904000,0.2,100,615665
15108,904000,0.2,100,626157
15107,904000,0.2,100,614445
15106,904000,0.2,100,617617
15105,904000,0.2,100,613713
15104,904000,0.2,100,624937
15103,904000,0.2,100,620301
15102,904000,0.2,100,620789
15101,904000,0.2,100,624449
15100,904000,0.2,100,626401
15099,904000,0.2,100,619813
15098,904000,0.2,100,617373
15097,904000,0.2,100,623473
15096,904000,0.2,100,627621
15095,904000,0.2,100,620545
15094,904000,0.2,100,626889
15093,904000,0.2,100,622497
15092,904000,0.2,100,619813
15091,904000,0.2,100,630061
15090,904000,0.2,100,630549
15089,904000,0.2,144,699873
15088,904000,0.2,144,693773
15087,904000,0.2,144,694505
15086,904000,0.2,144,690601
15085,904000,0.2,144,694505
15084,904000,0.2,144,696701
15083,904000,0.2,144,697677
15082,904000,0.2,144,688405
15081,904000,0.2,144,691089
15080,904000,0.2,144,694505
15079,904000,0.2,144,698165
15078,904000,0.2,144,698897
15077,904000,0.2,144,694749
15076,904000,0.2,144,702557
15075,904000,0.2,144,694993
15074,904000,0.2,144,691333
15073,904000,0.2,144,693529
15072,904000,0.2,144,700117
15071,904000,0.2,144,704997
15070,904000,0.2,144,695725
15069,904000,0.2,144,704509
15068,904000,0.2,144,697189
15067,904000,0.2,144,703777
15066,904000,0.2,144,699385
15065,904000,0.2,144,702069
15064,904000,0.2,144,703777
15063,904000,0.2,144,693773
15062,904000,0.2,144,705485
15061,904000,0.2,144,694749
15060,904000,0.2,144,701825
15059,904000,0.2,192,791975
15058,904000,0.2,192,781483
15057,904000,0.2,192,788315
15056,904000,0.2,192,785875
15055,904000,0.2,192,776603
15054,904000,0.2,192,781727
15053,904000,0.2,192,784167
15052,904000,0.2,192,789047
15051,904000,0.2,192,779775
15050,904000,0.2,192,788315
15049,904000,0.2,192,787827
15048,904000,0.2,192,785631
15047,904000,0.2,192,781727
15046,904000,0.2,192,790755
15045,904000,0.2,192,790755
15044,904000,0.2,192,786363
15043,904000,0.2,192,783435
15042,904000,0.2,192,787339
15041,904000,0.2,192,782703
15040,904000,0.2,192,787583
15039,904000,0.2,192,784899
15038,904000,0.2,192,785143
15037,904000,0.2,192,792219
15036,904000,0.2,192,784655
15035,904000,0.2,192,786119
15034,904000,0.2,192,787583
15033,904000,0.2,192,779775
15032,904000,0.2,192,794415
15031,904000,0.2,192,781727
15030,904000,0.2,192,777823
15029,904000,0.2,240,868760
15028,904000,0.2,240,879496
15027,904000,0.2,240,876080
15026,904000,0.2,240,872420
15025,904000,0.2,240,875104
15024,904000,0.2,240,876324
15023,904000,0.2,240,878520
15022,904000,0.2,240,877056
15021,904000,0.2,240,878276
15020,904000,0.2,240,873640
15019,904000,0.2,240,877544
15018,904000,0.2,240,877300
15017,904000,0.2,240,877544
15016,904000,0.2,240,872176
15015,904000,0.2,240,871932
15014,904000,0.2,240,878032
15013,904000,0.2,240,880716
15012,904000,0.2,240,878520
15011,904000,0.2,240,868272
15010,904000,0.2,240,878032
15009,904000,0.2,240,875836
15008,904000,0.2,240,870956
15007,904000,0.2,240,877788
15006,904000,0.2,240,876324
15005,904000,0.2,240,880716
15004,904000,0.2,240,873152
15003,904000,0.2,240,872176
15002,904000,0.2,240,877544
15001,904000,0.2,240,880716
15000,904000,0.2,240,875836
14999,904000,0.5,100,1129622
14998,904000,0.5,100,1134258
14997,904000,0.5,100,1130842
