height,c,L,size,attack_cost
904000,0.2,100,184786,1093
904000,0.2,144,261382,1574
904000,0.2,192,347226,2099
904000,0.2,240,430142,2624
904000,0.35,100,185030,1913
904000,0.35,144,262114,2755
904000,0.35,192,346738,3674
904000,0.35,240,431118,4592
904000,0.5,100,242934,2733
904000,0.5,144,262114,3936
904000,0.5,192,345518,5248
904000,0.5,240,431362,6560
904000,0.65,100,307945,3553
904000,0.65,144,320860,5117
904000,0.65,192,345518,6822
904000,0.65,240,430630,8528
904000,0.8,100,440225,4373
904000,0.8,144,406326,6298
904000,0.8,192,400769,8397
904000,0.8,240,430142,10496
929000,0.2,100,379499,1093
929000,0.2,144,428571,1574
929000,0.2,192,507253,2099
929000,0.2,240,578182,2624
929000,0.35,100,495465,1913
929000,0.35,144,547001,2755
929000,0.35,192,610091,3674
929000,0.35,240,674322,4592
929000,0.5,100,667785,2733
929000,0.5,144,704351,3936
929000,0.5,192,755753,5248
929000,0.5,240,817757,6560
929000,0.65,100,973347,3553
929000,0.65,144,980760,5117
929000,0.65,192,1011171,6822
929000,0.65,240,1058205,8528
929000,0.8,100,1673116,4373
929000,0.8,144,1626285,6298
929000,0.8,192,1631086,8397
929000,0.8,240,1629904,10496
954000,0.2,100,338682,1093
954000,0.2,144,392390,1574
954000,0.2,192,463508,2099
954000,0.2,240,526330,2624
954000,0.35,100,439458,1913
954000,0.35,144,486846,2755
954000,0.35,192,546764,3674
954000,0.35,240,611239,4592
954000,0.5,100,591488,2733
954000,0.5,144,621710,3936
954000,0.5,192,671105,5248
954000,0.5,240,727064,6560
954000,0.65,100,845844,3553
954000,0.65,144,857106,5117
954000,0.65,192,870925,6822
954000,0.65,240,932843,8528
954000,0.8,100,1453954,4373
954000,0.8,144,1404439,6298
954000,0.8,192,1396552,8397
954000,0.8,240,1392442,10496
979000,0.2,100,435798,1093
979000,0.2,144,491946,1574
979000,0.2,192,573800,2099
979000,0.2,240,639117,2624
979000,0.35,100,582082,1913
979000,0.35,144,652406,2755
979000,0.35,192,696952,3674
979000,0.35,240,774603,4592
979000,0.5,100,819509,2733
979000,0.5,144,856508,3936
979000,0.5,192,905226,5248
979000,0.5,240,964601,6560
979000,0.65,100,1184927,3553
979000,0.65,144,1199172,5117
979000,0.65,192,1245876,6822
979000,0.65,240,1278813,8528
979000,0.8,100,2079842,4373
979000,0.8,144,2059174,6298
979000,0.8,192,2047627,8397
979000,0.8,240,2059566,10496
1004000,0.2,100,456246,1093
1004000,0.2,144,519958,1574
1004000,0.2,192,590533,2099
1004000,0.2,240,664390,2624
1004000,0.35,100,636666,1913
1004000,0.35,144,681315,2755
1004000,0.35,192,737140,3674
1004000,0.35,240,798144,4592
1004000,0.5,100,853384,2733
1004000,0.5,144,897026,3936
1004000,0.5,192,943981,5248
1004000,0.5,240,1011164,6560
1004000,0.65,100,1266499,3553
1004000,0.65,144,1280933,5117
1004000,0.65,192,1310612,6822
1004000,0.65,240,1360818,8528
1004000,0.8,100,2220672,4373
1004000,0.8,144,2194093,6298
1004000,0.8,192,2178886,8397
1004000,0.8,240,2175996,10496
1029000,0.2,100,546877,1093
1029000,0.2,144,612297,1574
1029000,0.2,192,677559,2099
1029000,0.2,240,748488,2624
1029000,0.35,100,744635,1913
1029000,0.35,144,803491,2755
1029000,0.35,192,857120,3674
1029000,0.35,240,920564,4592
1029000,0.5,100,1035794,2733
1029000,0.5,144,1082608,3936
1029000,0.5,192,1139323,5248
1029000,0.5,240,1195770,6560
1029000,0.65,100,1557878,3553
1029000,0.65,144,1562363,5117
1029000,0.65,192,1604974,6822
1029000,0.65,240,1651764,8528
1029000,0.8,100,2696362,4373
1029000,0.8,144,2681794,6298
1029000,0.8,192,2672931,8397
1029000,0.8,240,2707318,10496
1054000,0.2,100,550455,1093
1054000,0.2,144,620511,1574
1054000,0.2,192,686505,2099
1054000,0.2,240,760118,2624
1054000,0.35,100,747969,1913
1054000,0.35,144,800969,2755
1054000,0.35,192,878510,3674
1054000,0.35,240,934878,4592
1054000,0.5,100,1057727,2733
1054000,0.5,144,1072577,3936
1054000,0.5,192,1150575,5248
1054000,0.5,240,1220143,6560
1054000,0.65,100,1530688,3553
1054000,0.65,144,1581478,5117
1054000,0.65,192,1632385,6822
1054000,0.65,240,1672099,8528
1054000,0.8,100,2739420,4373
1054000,0.8,144,2734856,6298
1054000,0.8,192,2732581,8397
1054000,0.8,240,2786488,10496
1079000,0.2,100,554115,1093
1079000,0.2,144,614899,1574
1079000,0.2,192,697973,2099
1079000,0.2,240,755726,2624
1079000,0.35,100,765592,1913
1079000,0.35,144,821032,2755
1079000,0.35,192,881438,3674
1079000,0.35,240,952745,4592
1079000,0.5,100,1075350,2733
1079000,0.5,144,1093805,3936
1079000,0.5,192,1157651,5248
1079000,0.5,240,1223614,6560
1079000,0.65,100,1578756,3553
1079000,0.65,144,1608129,5117
1079000,0.65,192,1638540,6822
1079000,0.65,240,1686306,8528
1079000,0.8,100,2760026,4373
1079000,0.8,144,2757359,6298
1079000,0.8,192,2788024,8397
1079000,0.8,240,2771470,10496
1104000,0.2,100,582426,1093
1104000,0.2,144,630522,1574
1104000,0.2,192,715548,2099
1104000,0.2,240,780621,2624
1104000,0.35,100,789298,1913
1104000,0.35,144,865966,2755
1104000,0.35,192,915392,3674
1104000,0.35,240,981819,4592
1104000,0.5,100,1118717,2733
1104000,0.5,144,1157479,3936
1104000,0.5,192,1186622,5248
1104000,0.5,240,1265273,6560
1104000,0.65,100,1623625,3553
1104000,0.65,144,1662459,5117
1104000,0.65,192,1697994,6822
1104000,0.65,240,1767720,8528
1104000,0.8,100,2896880,4373
1104000,0.8,144,2874937,6298
1104000,0.8,192,2916826,8397
1104000,0.8,240,2934920,10496
1129000,0.2,100,528725,1093
1129000,0.2,144,585117,1574
1129000,0.2,192,647939,2099
1129000,0.2,240,731312,2624
1129000,0.35,100,716039,1913
1129000,0.35,144,774407,2755
1129000,0.35,192,821149,3674
1129000,0.35,240,891724,4592
1129000,0.5,100,989891,2733
1129000,0.5,144,1026701,3936
1129000,0.5,192,1092932,5248
1129000,0.5,240,1138887,6560
1129000,0.65,100,1481973,3553
1129000,0.65,144,1493723,5117
1129000,0.65,192,1515594,6822
1129000,0.65,240,1561408,8528
1129000,0.8,100,2616157,4373
1129000,0.8,144,2561518,6298
1129000,0.8,192,2546555,8397
1129000,0.8,240,2574897,10496
1154000,0.2,100,534392,1093
1154000,0.2,144,583220,1574
1154000,0.2,192,656046,2099
1154000,0.2,240,726975,2624
1154000,0.35,100,727562,1913
1154000,0.35,144,780074,2755
1154000,0.35,192,831208,3674
1154000,0.35,240,897879,4592
1154000,0.5,100,994637,2733
1154000,0.5,144,1044379,3936
1154000,0.5,192,1097190,5248
1154000,0.5,240,1155833,6560
1154000,0.65,100,1476282,3553
1154000,0.65,144,1495596,5117
1154000,0.65,192,1530643,6822
1154000,0.65,240,1586949,8528
1154000,0.8,100,2626247,4373
1154000,0.8,144,2593080,6298
1154000,0.8,192,2591592,8397
1154000,0.8,240,2601091,10496
1179000,0.2,100,446610,1093
1179000,0.2,144,504222,1574
1179000,0.2,192,576316,2099
1179000,0.2,240,652125,2624
1179000,0.35,100,617428,1913
1179000,0.35,144,670428,2755
1179000,0.35,192,726985,3674
1179000,0.35,240,776765,4592
1179000,0.5,100,823702,2733
1179000,0.5,144,872224,3936
1179000,0.5,192,938455,5248
1179000,0.5,240,975870,6560
1179000,0.65,100,1243013,3553
1179000,0.65,144,1259942,5117
1179000,0.65,192,1281813,6822
1179000,0.65,240,1334215,8528
1179000,0.8,100,2200464,4373
1179000,0.8,144,2131185,6298
1179000,0.8,192,2135254,8397
1179000,0.8,240,2130656,10496
1204000,0.2,100,594413,1093
1204000,0.2,144,649585,1574
1204000,0.2,192,737783,2099
1204000,0.2,240,802124,2624
1204000,0.35,100,812619,1913
1204000,0.35,144,878551,2755
1204000,0.35,192,950669,3674
1204000,0.35,240,996112,4592
1204000,0.5,100,1149523,2733
1204000,0.5,144,1193897,3936
1204000,0.5,192,1224803,5248
1204000,0.5,240,1307602,6560
1204000,0.65,100,1729913,3553
1204000,0.65,144,1742206,5117
1204000,0.65,192,1787989,6822
1204000,0.65,240,1824531,8528
1204000,0.8,100,3042112,4373
1204000,0.8,144,3057257,6298
1204000,0.8,192,3015021,8397
1204000,0.8,240,3035988,10496
1229000,0.2,100,519178,1093
1229000,0.2,144,567030,1574
1229000,0.2,192,642052,2099
1229000,0.2,240,723473,2624
1229000,0.35,100,703100,1913
1229000,0.35,144,756344,2755
1229000,0.35,192,817293,3674
1229000,0.35,240,872685,4592
1229000,0.5,100,973804,2733
1229000,0.5,144,1022082,3936
1229000,0.5,192,1068848,5248
1229000,0.5,240,1128412,6560
1229000,0.65,100,1457150,3553
1229000,0.65,144,1455047,5117
1229000,0.65,192,1509126,6822
1229000,0.65,240,1560796,8528
1229000,0.8,100,2580340,4373
1229000,0.8,144,2541073,6298
1229000,0.8,192,2531478,8397
1229000,0.8,240,2549084,10496
1254000,0.2,100,573312,1093
1254000,0.2,144,642148,1574
1254000,0.2,192,723514,2099
1254000,0.2,240,775167,2624
1254000,0.35,100,819303,1913
1254000,0.35,144,855711,2755
1254000,0.35,192,925633,3674
1254000,0.35,240,983032,4592
1254000,0.5,100,1112335,2733
1254000,0.5,144,1158905,3936
1254000,0.5,192,1215431,5248
1254000,0.5,240,1266510,6560
1254000,0.65,100,1663163,3553
1254000,0.65,144,1698392,5117
1254000,0.65,192,1727528,6822
1254000,0.65,240,1776514,8528
1254000,0.8,100,2973382,4373
1254000,0.8,144,2953147,6298
1254000,0.8,192,2926039,8397
1254000,0.8,240,2930658,10496
1279000,0.2,100,471584,1093
1279000,0.2,144,531392,1574
1279000,0.2,192,599338,2099
