height,c,L,size,attack_cost
904000,0.2,100,318492,1093
904000,0.2,144,357443,1574
904000,0.2,192,405996,2099
904000,0.2,240,482159,2624
904000,0.35,100,433977,1913
904000,0.35,144,459312,2755
904000,0.35,192,500569,3674
904000,0.35,240,555088,4592
904000,0.5,100,584509,2733
904000,0.5,144,591561,3936
904000,0.5,192,617140,5248
904000,0.5,240,658586,6560
904000,0.65,100,847251,3553
904000,0.65,144,809252,5117
904000,0.65,192,799681,6822
904000,0.65,240,822112,8528
904000,0.8,100,1437609,4373
904000,0.8,144,1307738,6298
904000,0.8,192,1232496,8397
904000,0.8,240,1200951,10496
929000,0.2,100,673538,1093
929000,0.2,144,708805,1574
929000,0.2,192,777397,2099
929000,0.2,240,843958,2624
929000,0.35,100,962807,1913
929000,0.35,144,986111,2755
929000,0.35,192,1041252,3674
929000,0.35,240,1098943,4592
929000,0.5,100,1378462,2733
929000,0.5,144,1384703,3936
929000,0.5,192,1424221,5248
929000,0.5,240,1466643,6560
929000,0.65,100,2086493,3553
929000,0.65,144,2052051,5117
929000,0.65,192,2071358,6822
929000,0.65,240,2089342,8528
929000,0.8,100,3740904,4373
929000,0.8,144,3621697,6298
929000,0.8,192,3576883,8397
929000,0.8,240,3538396,10496
954000,0.2,100,770568,1093
954000,0.2,144,812612,1574
954000,0.2,192,871145,2099
954000,0.2,240,930764,2624
954000,0.35,100,1102551,1913
954000,0.35,144,1140739,2755
954000,0.35,192,1182484,3674
954000,0.35,240,1235484,4592
954000,0.5,100,1557755,2733
954000,0.5,144,1584248,3936
954000,0.5,192,1615195,5248
954000,0.5,240,1656232,6560
954000,0.65,100,2385357,3553
954000,0.65,144,2356472,5117
954000,0.65,192,2366854,6822
954000,0.65,240,2382178,8528
954000,0.8,100,4345512,4373
954000,0.8,144,4223999,6298
954000,0.8,192,4154259,8397
954000,0.8,240,4109665,10496
979000,0.2,100,829984,1093
979000,0.2,144,872760,1574
979000,0.2,192,943115,2099
979000,0.2,240,1003576,2624
979000,0.35,100,1196000,1913
979000,0.35,144,1228765,2755
979000,0.35,192,1278782,3674
979000,0.35,240,1326768,4592
979000,0.5,100,1706008,2733
979000,0.5,144,1720789,3936
979000,0.5,192,1759575,5248
979000,0.5,240,1792725,6560
979000,0.65,100,2598944,3553
979000,0.65,144,2580685,5117
979000,0.65,192,2612302,6822
979000,0.65,240,2613694,8528
979000,0.8,100,4698723,4373
979000,0.8,144,4579241,6298
979000,0.8,192,4551129,8397
979000,0.8,240,4510690,10496
1004000,0.2,100,866055,1093
1004000,0.2,144,908154,1574
1004000,0.2,192,965601,2099
1004000,0.2,240,1022237,2624
1004000,0.35,100,1248371,1913
1004000,0.35,144,1277342,2755
1004000,0.35,192,1324400,3674
1004000,0.35,240,1359966,4592
1004000,0.5,100,1790137,2733
1004000,0.5,144,1818448,3936
1004000,0.5,192,1838061,5248
1004000,0.5,240,1861798,6560
1004000,0.65,100,2749974,3553
1004000,0.65,144,2742970,5117
1004000,0.65,192,2742152,6822
1004000,0.65,240,2728354,8528
1004000,0.8,100,5010622,4373
1004000,0.8,144,4927259,6298
1004000,0.8,192,4838724,8397
1004000,0.8,240,4774304,10496
1029000,0.2,100,897514,1093
1029000,0.2,144,953466,1574
1029000,0.2,192,1004868,2099
1029000,0.2,240,1065951,2624
1029000,0.35,100,1300034,1913
1029000,0.35,144,1344755,2755
1029000,0.35,192,1389129,3674
1029000,0.35,240,1440610,4592
1029000,0.5,100,1887978,2733
1029000,0.5,144,1917887,3936
1029000,0.5,192,1949645,5248
1029000,0.5,240,1979946,6560
1029000,0.65,100,2910647,3553
1029000,0.65,144,2891900,5117
1029000,0.65,192,2879425,6822
1029000,0.65,240,2898055,8528
1029000,0.8,100,5263428,4373
1029000,0.8,144,5173470,6298
1029000,0.8,192,5081574,8397
1029000,0.8,240,5039066,10496
1054000,0.2,100,925303,1093
1054000,0.2,144,966615,1574
1054000,0.2,192,1032279,2099
1054000,0.2,240,1088049,2624
1054000,0.35,100,1334954,1913
1054000,0.35,144,1368073,2755
1054000,0.35,192,1420365,3674
1054000,0.35,240,1472444,4592
1054000,0.5,100,1955027,2733
1054000,0.5,144,1960103,3936
1054000,0.5,192,1999944,5248
1054000,0.5,240,2032063,6560
1054000,0.65,100,3000852,3553
1054000,0.65,144,2973242,5117
1054000,0.65,192,2965922,6822
1054000,0.65,240,2979703,8528
1054000,0.8,100,5392491,4373
1054000,0.8,144,5317070,6298
1054000,0.8,192,5232800,8397
1054000,0.8,240,5196399,10496
1079000,0.2,100,921454,1093
1079000,0.2,144,971117,1574
1079000,0.2,192,1037269,2099
1079000,0.2,240,1104129,2624
1079000,0.35,100,1350924,1913
1079000,0.35,144,1379706,2755
1079000,0.35,192,1429180,3674
1079000,0.35,240,1486194,4592
1079000,0.5,100,1956168,2733
1079000,0.5,144,1966234,3936
1079000,0.5,192,2007350,5248
1079000,0.5,240,2047930,6560
1079000,0.65,100,2990635,3553
1079000,0.65,144,2964355,5117
1079000,0.65,192,2984583,6822
1079000,0.65,240,2991996,8528
1079000,0.8,100,5418905,4373
1079000,0.8,144,5313936,6298
1079000,0.8,192,5243038,8397
1079000,0.8,240,5240151,10496
1104000,0.2,100,976172,1093
1104000,0.2,144,1014855,1574
1104000,0.2,192,1069539,2099
1104000,0.2,240,1137808,2624
1104000,0.35,100,1404508,1913
1104000,0.35,144,1425915,2755
1104000,0.35,192,1480702,3674
1104000,0.35,240,1541431,4592
1104000,0.5,100,2014529,2733
1104000,0.5,144,2029042,3936
1104000,0.5,192,2061319,5248
1104000,0.5,240,2106724,6560
1104000,0.65,100,3091545,3553
1104000,0.65,144,3071664,5117
1104000,0.65,192,3080747,6822
1104000,0.65,240,3094693,8528
1104000,0.8,100,5610068,4373
1104000,0.8,144,5521502,6298
1104000,0.8,192,5456429,8397
1104000,0.8,240,5426214,10496
1129000,0.2,100,978564,1093
1129000,0.2,144,1031344,1574
1129000,0.2,192,1090121,2099
1129000,0.2,240,1156871,2624
1129000,0.35,100,1440304,1913
1129000,0.35,144,1476241,2755
1129000,0.35,192,1513216,3674
1129000,0.35,240,1578471,4592
1129000,0.5,100,2090238,2733
1129000,0.5,144,2096235,3936
1129000,0.5,192,2138516,5248
1129000,0.5,240,2184488,6560
1129000,0.65,100,3191527,3553
1129000,0.65,144,3166247,5117
1129000,0.65,192,3186987,6822
1129000,0.65,240,3210229,8528
1129000,0.8,100,5802846,4373
1129000,0.8,144,5698114,6298
1129000,0.8,192,5630113,8397
1129000,0.8,240,5585739,10496
1154000,0.2,100,987049,1093
1154000,0.2,144,1026110,1574
1154000,0.2,192,1099338,2099
1154000,0.2,240,1152125,2624
1154000,0.35,100,1432685,1913
1154000,0.35,144,1461491,2755
1154000,0.35,192,1519450,3674
1154000,0.35,240,1563123,4592
1154000,0.5,100,2089152,2733
1154000,0.5,144,2083626,3936
1154000,0.5,192,2128048,5248
1154000,0.5,240,2149998,6560
1154000,0.65,100,3217226,3553
