height,c,L,size,attack_cost
904000,0.2,100,500253,1093
904000,0.2,144,565185,1574
904000,0.2,192,636303,2099
904000,0.2,240,647668,2624
904000,0.35,100,668776,1913
904000,0.35,144,729041,2755
904000,0.35,192,809510,3674
904000,0.35,240,870813,4592
904000,0.5,100,936374,2733
904000,0.5,144,971964,3936
904000,0.5,192,1033370,5248
904000,0.5,240,1093721,6560
904000,0.65,100,1374516,3553
904000,0.65,144,1403401,5117
904000,0.65,192,1451813,6822
904000,0.65,240,1503483,8528
904000,0.8,100,2443658,4373
904000,0.8,144,2432451,6298
904000,0.8,192,2443163,8397
904000,0.8,240,2469254,10496
929000,0.2,100,589313,1093
929000,0.2,144,648145,1574
929000,0.2,192,719263,2099
929000,0.2,240,791168,2624
929000,0.35,100,778820,1913
929000,0.35,144,851584,2755
929000,0.35,192,915705,3674
929000,0.35,240,984084,4592
929000,0.5,100,1101916,2733
929000,0.5,144,1144094,3936
929000,0.5,192,1207641,5248
929000,0.5,240,1266040,6560
929000,0.65,100,1654006,3553
929000,0.65,144,1668007,5117
929000,0.65,192,1711838,6822
929000,0.65,240,1749844,8528
929000,0.8,100,2905038,4373
929000,0.8,144,2891446,6298
929000,0.8,192,2897955,8397
929000,0.8,240,2939174,10496
954000,0.2,100,601080,1093
954000,0.2,144,647468,1574
954000,0.2,192,743230,2099
954000,0.2,240,824651,2624
954000,0.35,100,821087,1913
954000,0.35,144,885311,2755
954000,0.35,192,950408,3674
954000,0.35,240,1019220,4592
954000,0.5,100,1137595,2733
954000,0.5,144,1201001,3936
954000,0.5,192,1264792,5248
954000,0.5,240,1336611,6560
954000,0.65,100,1692668,3553
954000,0.65,144,1747173,5117
954000,0.65,192,1802472,6822
954000,0.65,240,1836818,8528
954000,0.8,100,3022378,4373
954000,0.8,144,3013666,6298
954000,0.8,192,3060191,8397
954000,0.8,240,3067250,10496
979000,0.2,100,613768,1093
979000,0.2,144,682415,1574
979000,0.2,192,752258,2099
979000,0.2,240,848618,2624
979000,0.35,100,853350,1913
979000,0.35,144,897322,2755
979000,0.35,192,989503,3674
979000,0.35,240,1033671,4592
979000,0.5,100,1204506,2733
979000,0.5,144,1229848,3936
979000,0.5,192,1294426,5248
979000,0.5,240,1360633,6560
979000,0.65,100,1767198,3553
979000,0.65,144,1786323,5117
979000,0.65,192,1833082,6822
979000,0.65,240,1881092,8528
979000,0.8,100,3096286,4373
979000,0.8,144,3106606,6298
979000,0.8,192,3121899,8397
979000,0.8,240,3149210,10496
1004000,0.2,100,613823,1093
1004000,0.2,144,692663,1574
1004000,0.2,192,758657,2099
1004000,0.2,240,838370,2624
1004000,0.35,100,853893,1913
1004000,0.35,144,905429,2755
1004000,0.35,192,977303,3674
1004000,0.35,240,1050806,4592
1004000,0.5,100,1199248,2733
1004000,0.5,144,1252351,3936
1004000,0.5,192,1333765,5248
1004000,0.5,240,1381916,6560
1004000,0.65,100,1794636,3553
1004000,0.65,144,1833037,5117
1004000,0.65,192,1874428,6822
1004000,0.65,240,1945862,8528
1004000,0.8,100,3173610,4373
1004000,0.8,144,3139522,6298
1004000,0.8,192,3196051,8397
1004000,0.8,240,3224826,10496
1029000,0.2,100,621198,1093
1029000,0.2,144,699550,1574
1029000,0.2,192,765733,2099
1029000,0.2,240,852821,2624
1029000,0.35,100,868100,1913
1029000,0.35,144,933300,2755
1029000,0.35,192,978822,3674
1029000,0.35,240,1054521,4592
1029000,0.5,100,1212723,2733
1029000,0.5,144,1260025,3936
1029000,0.5,192,1333820,5248
1029000,0.5,240,1401003,6560
1029000,0.65,100,1815730,3553
1029000,0.65,144,1843151,5117
1029000,0.65,192,1917726,6822
1029000,0.65,240,1962320,8528
1029000,0.8,100,3221898,4373
1029000,0.8,144,3218743,6298
1029000,0.8,192,3239703,8397
1029000,0.8,240,3267014,10496
1054000,0.2,100,660479,1093
1054000,0.2,144,701743,1574
1054000,0.2,192,773349,2099
1054000,0.2,240,843546,2624
1054000,0.35,100,883091,1913
1054000,0.35,144,949267,2755
1054000,0.35,192,1015474,3674
1054000,0.35,240,1065065,4592
1054000,0.5,100,1252358,2733
1054000,0.5,144,1279652,3936
