height,c,L,size,attack_cost
904000,0.2,100,603459,1093
904000,0.2,144,658222,1574
904000,0.2,192,731426,2099
904000,0.2,240,741571,2624
904000,0.35,100,847925,1913
904000,0.35,144,896313,2755
904000,0.35,192,960946,3674
904000,0.35,240,1024713,4592
904000,0.5,100,1201893,2733
904000,0.5,144,1237098,3936
904000,0.5,192,1287438,5248
904000,0.5,240,1345129,6560
904000,0.65,100,1812194,3553
904000,0.65,144,1823882,5117
904000,0.65,192,1853743,6822
904000,0.65,240,1897519,8528
904000,0.8,100,3291222,4373
904000,0.8,144,3244401,6298
904000,0.8,192,3228259,8397
904000,0.8,240,3235091,10496
929000,0.2,100,702334,1093
929000,0.2,144,768809,1574
929000,0.2,192,832741,2099
929000,0.2,240,912100,2624
929000,0.35,100,999260,1913
929000,0.35,144,1054968,2755
929000,0.35,192,1109353,3674
929000,0.35,240,1184399,4592
929000,0.5,100,1429167,2733
929000,0.5,144,1473400,3936
929000,0.5,192,1520080,5248
929000,0.5,240,1575575,6560
929000,0.65,100,2157674,3553
929000,0.65,144,2177115,5117
929000,0.65,192,2208251,6822
929000,0.65,240,2250752,8528
929000,0.8,100,3904047,4373
929000,0.8,144,3860154,6298
929000,0.8,192,3848892,8397
929000,0.8,240,3856212,10496
954000,0.2,100,738989,1093
954000,0.2,144,791312,1574
954000,0.2,192,869152,2099
954000,0.2,240,938995,2624
954000,0.35,100,1047194,1913
954000,0.35,144,1084547,2755
954000,0.35,192,1163576,3674
954000,0.35,240,1223738,4592
954000,0.5,100,1464413,2733
954000,0.5,144,1504010,3936
954000,0.5,192,1560938,5248
954000,0.5,240,1627901,6560
954000,0.65,100,2229331,3553
954000,0.65,144,2242483,5117
954000,0.65,192,2274595,6822
954000,0.65,240,2335152,8528
954000,0.8,100,4069864,4373
954000,0.8,144,4021579,6298
954000,0.8,192,4010073,8397
954000,0.8,240,4008853,10496
979000,0.2,100,764908,1093
979000,0.2,144,818207,1574
979000,0.2,192,892631,2099
979000,0.2,240,965402,2624
979000,0.35,100,1076529,1913
979000,0.35,144,1124429,2755
979000,0.35,192,1191746,3674
979000,0.35,240,1260692,4592
979000,0.5,100,1522839,2733
979000,0.5,144,1562680,3936
979000,0.5,192,1608140,5248
979000,0.5,240,1666319,6560
979000,0.65,100,2312999,3553
979000,0.65,144,2326096,5117
979000,0.65,192,2368212,6822
979000,0.65,240,2404125,8528
979000,0.8,100,4142906,4373
979000,0.8,144,4126396,6298
979000,0.8,192,4097023,8397
979000,0.8,240,4104831,10496
1004000,0.2,100,763743,1093
1004000,0.2,144,820946,1574
1004000,0.2,192,892686,2099
1004000,0.2,240,974241,2624
1004000,0.35,100,1075907,1913
1004000,0.35,144,1134488,2755
1004000,0.35,192,1195217,3674
1004000,0.35,240,1275631,4592
1004000,0.5,100,1543744,2733
1004000,0.5,144,1586946,3936
1004000,0.5,192,1638317,5248
1004000,0.5,240,1699857,6560
1004000,0.65,100,2355132,3553
1004000,0.65,144,2363105,5117
1004000,0.65,192,2391801,6822
1004000,0.65,240,2440646,8528
1004000,0.8,100,4275783,4373
1004000,0.8,144,4223106,6298
1004000,0.8,192,4219408,8397
1004000,0.8,240,4242832,10496
1029000,0.2,100,763987,1093
1029000,0.2,144,833689,1574
1029000,0.2,192,900006,2099
1029000,0.2,240,969172,2624
1029000,0.35,100,1097190,1913
1029000,0.35,144,1149427,2755
1029000,0.35,192,1219916,3674
1029000,0.35,240,1276418,4592
1029000,0.5,100,1581674,2733
1029000,0.5,144,1613408,3936
1029000,0.5,192,1682347,5248
1029000,0.5,240,1724855,6560
1029000,0.65,100,2398241,3553
1029000,0.65,144,2418225,5117
1029000,0.65,192,2465898,6822
1029000,0.65,240,2496010,8528
1029000,0.8,100,4330525,4373
1029000,0.8,144,4299076,6298
1029000,0.8,192,4282202,8397
1029000,0.8,240,4287570,10496
1054000,0.2,100,798986,1093
1054000,0.2,144,852340,1574
1054000,0.2,192,919389,2099
1054000,0.2,240,987335,2624
1054000,0.35,100,1121209,1913
1054000,0.35,144,1164229,2755
1054000,0.35,192,1234474,3674
1054000,0.35,240,1301956,4592
1054000,0.5,100,1606913,2733
1054000,0.5,144,1643338,3936
1054000,0.5,192,1694898,5248
1054000,0.5,240,1747221,6560
1054000,0.65,100,2460190,3553
1054000,0.65,144,2450162,5117
1054000,0.65,192,2496182,6822
1054000,0.65,240,2535999,8528
1054000,0.8,100,4432167,4373
1054000,0.8,144,4389738,6298
1054000,0.8,192,4375792,8397
1054000,0.8,240,4372620,10496
1079000,0.2,100,787762,1093
1079000,0.2,144,852773,1574
1079000,0.2,192,922317,2099
1079000,0.2,240,999535,2624
1079000,0.35,100,1126577,1913
1079000,0.35,144,1194485,2755
1079000,0.35,192,1247650,3674
1079000,0.35,240,1317572,4592
1079000,0.5,100,1623804,2733
1079000,0.5,144,1663889,3936
1079000,0.5,192,1717401,5248
1079000,0.5,240,1765332,6560
1079000,0.65,100,2456451,3553
1079000,0.65,144,2470036,5117
1079000,0.65,192,2520204,6822
1079000,0.65,240,2559289,8528
1079000,0.8,100,4449522,4373
1079000,0.8,144,4391477,6298
1079000,0.8,192,4387047,8397
1079000,0.8,240,4392659,10496
1104000,0.2,100,812949,1093
1104000,0.2,144,867956,1574
1104000,0.2,192,934084,2099
1104000,0.2,240,1007587,2624
1104000,0.35,100,1158407,1913
1104000,0.35,144,1195760,2755
1104000,0.35,192,1257953,3674
1104000,0.35,240,1335195,4592
1104000,0.5,100,1637822,2733
1104000,0.5,144,1669611,3936
1104000,0.5,192,1706775,5248
1104000,0.5,240,1790086,6560
1104000,0.65,100,2492972,3553
1104000,0.65,144,2495821,5117
1104000,0.65,192,2518661,6822
1104000,0.65,240,2571166,8528
1104000,0.8,100,4511584,4373
1104000,0.8,144,4436215,6298
1104000,0.8,192,4408361,8397
1104000,0.8,240,4449841,10496
1129000,0.2,100,817152,1093
1129000,0.2,144,870451,1574
1129000,0.2,192,951219,2099
1129000,0.2,240,1020818,2624
1129000,0.35,100,1177738,1913
1129000,0.35,144,1223143,2755
1129000,0.35,192,1293632,3674
1129000,0.35,240,1359650,4592
1129000,0.5,100,1682584,2733
1129000,0.5,144,1714373,3936
1129000,0.5,192,1769593,5248
1129000,0.5,240,1824356,6560
1129000,0.65,100,2549745,3553
1129000,0.65,144,2553814,5117
1129000,0.65,192,2589586,6822
1129000,0.65,240,2636967,8528
1129000,0.8,100,4599510,4373
1129000,0.8,144,4548053,6298
1129000,0.8,192,4530447,8397
1129000,0.8,240,4520876,10496
1154000,0.2,100,816231,1093
1154000,0.2,144,884957,1574
1154000,0.2,192,946638,2099
1154000,0.2,240,1018976,2624
1154000,0.35,100,1157840,1913
1154000,0.35,144,1213548,2755
1154000,0.35,192,1282030,3674
1154000,0.35,240,1342924,4592
1154000,0.5,100,1669085,2733
1154000,0.5,144,1714050,3936
1154000,0.5,192,1757070,5248
1154000,0.5,240,1812266,6560
1154000,0.65,100,2545518,3553
1154000,0.65,144,2565746,5117
1154000,0.65,192,2611711,6822
1154000,0.65,240,2645727,8528
1154000,0.8,100,4611363,4373
1154000,0.8,144,4583330,6298
1154000,0.8,192,4572013,8397
1154000,0.8,240,4564937,10496
1179000,0.2,100,810619,1093
1179000,0.2,144,868554,1574
1179000,0.2,192,944686,2099
1179000,0.2,240,1018244,2624
1179000,0.35,100,1157352,1913
1179000,0.35,144,1212572,2755
1179000,0.35,192,1277937,3674
1179000,0.35,240,1332188,4592
1179000,0.5,100,1657916,2733
1179000,0.5,144,1696238,3936
1179000,0.5,192,1748097,5248
1179000,0.5,240,1808417,6560
1179000,0.65,100,2531720,3553
1179000,0.65,144,2566100,5117
1179000,0.65,192,2592301,6822
1179000,0.65,240,2630410,8528
1179000,0.8,100,4613291,4373
1179000,0.8,144,4550610,6298
1179000,0.8,192,4552280,8397
1179000,0.8,240,4556861,10496
1204000,0.2,100,819702,1093
1204000,0.2,144,877637,1574
1204000,0.2,192,947425,2099
1204000,0.2,240,1022148,2624
1204000,0.35,100,1194739,1913
1204000,0.35,144,1233611,2755
1204000,0.35,192,1293120,3674
1204000,0.35,240,1371338,4592
1204000,0.5,100,1687983,2733
1204000,0.5,144,1715136,3936
1204000,0.5,192,1771576,5248
1204000,0.5,240,1845615,6560
1204000,0.65,100,2569705,3553
1204000,0.65,144,2579630,5117
1204000,0.65,192,2612718,6822
1204000,0.65,240,2656439,8528
1204000,0.8,100,4674377,4373
1204000,0.8,144,4622920,6298
1204000,0.8,192,4595499,8397
1204000,0.8,240,4598427,10496
1229000,0.2,100,838789,1093
1229000,0.2,144,888916,1574
1229000,0.2,192,963773,2099
1229000,0.2,240,1040747,2624
1229000,0.35,100,1197234,1913
1229000,0.35,144,1244890,2755
1229000,0.35,192,1311231,3674
1229000,0.35,240,1378713,4592
1229000,0.5,100,1718105,2733
1229000,0.5,144,1745746,3936
1229000,0.5,192,1804626,5248
1229000,0.5,240,1852746,6560
1229000,0.65,100,2643314,3553
1229000,0.65,144,2634695,5117
1229000,0.65,192,2687791,6822
1229000,0.65,240,2722484,8528
1229000,0.8,100,4711984,4373
1229000,0.8,144,4658087,6298
1229000,0.8,192,4655798,8397
1229000,0.8,240,4652626,10496
1254000,0.2,100,833665,1093
1254000,0.2,144,895559,1574
1254000,0.2,192,952604,2099
1254000,0.2,240,1032262,2624
1254000,0.35,100,1218084,1913
1254000,0.35,144,1280081,2755
1254000,0.35,192,1318606,3674
1254000,0.35,240,1379988,4592
1254000,0.5,100,1735051,2733
1254000,0.5,144,1785329,3936
1254000,0.5,192,1831088,5248
1254000,0.5,240,1878964,6560
1254000,0.65,100,2644943,3553
1254000,0.65,144,2669264,5117
1254000,0.65,192,2689609,6822
1254000,0.65,240,2736014,8528
1254000,0.8,100,4730803,4373
1254000,0.8,144,4720094,6298
1254000,0.8,192,4687549,8397
1254000,0.8,240,4704141,10496
1279000,0.2,100,844456,1093
1279000,0.2,144,900439,1574
1279000,0.2,192,973643,2099
1279000,0.2,240,1045682,2624
1279000,0.35,100,1224239,1913
1279000,0.35,144,1257688,2755
1279000,0.35,192,1325493,3674
1279000,0.35,240,1393219,4592
1279000,0.5,100,1759506,2733
1279000,0.5,144,1790563,3936
1279000,0.5,192,1846271,5248
1279000,0.5,240,1905182,6560
1279000,0.65,100,2673845,3553
1279000,0.65,144,2674010,5117
1279000,0.65,192,2710270,6822
1279000,0.65,240,2764239,8528
1279000,0.8,100,4841122,4373
1279000,0.8,144,4785273,6298
1279000,0.8,192,4770839,8397
1279000,0.8,240,4788108,10496
1304000,0.2,100,844755,1093
1304000,0.2,144,901226,1574
1304000,0.2,192,976382,2099
1304000,0.2,240,1039881,2624
1304000,0.35,100,1219658,1913
1304000,0.35,144,1253595,2755
1304000,0.35,192,1321644,3674
1304000,0.35,240,1393030,4592
1304000,0.5,100,1739364,2733
1304000,0.5,144,1776765,3936
1304000,0.5,192,1818565,5248
1304000,0.5,240,1887913,6560
1304000,0.65,100,2653026,3553
1304000,0.65,144,2662951,5117
1304000,0.65,192,2695063,6822
1304000,0.65,240,2738296,8528
1304000,0.8,100,4795037,4373
1304000,0.8,144,4742360,6298
1304000,0.8,192,4741102,8397
1304000,0.8,240,4733971,10496
1329000,0.2,100,840607,1093
1329000,0.2,144,906405,1574
1329000,0.2,192,972966,2099
1329000,0.2,240,1046280,2624
1329000,0.35,100,1199705,1913
1329000,0.35,144,1249014,2755
1329000,0.35,192,1329995,3674
1329000,0.35,240,1377469,4592
1329000,0.5,100,1721906,2733
1329000,0.5,144,1759008,3936
1329000,0.5,192,1815204,5248
1329000,0.5,240,1865819,6560
1329000,0.65,100,2627028,3553
1329000,0.65,144,2656473,5117
1329000,0.65,192,2691025,6822
1329000,0.65,240,2730598,8528
1329000,0.8,100,4767984,4373
1329000,0.8,144,4742147,6298
1329000,0.8,192,4736198,8397
1329000,0.8,240,4738638,10496
1354000,0.2,100,866770,1093
1354000,0.2,144,908113,1574
1354000,0.2,192,984245,2099
1354000,0.2,240,1052868,2624
1354000,0.35,100,1212692,1913
1354000,0.35,144,1263709,2755
1354000,0.35,192,1329562,3674
1354000,0.35,240,1396312,4592
1354000,0.5,100,1749533,2733
1354000,0.5,144,1788398,3936
1354000,0.5,192,1846546,5248
1354000,0.5,240,1896618,6560
1354000,0.65,100,2657937,3553
1354000,0.65,144,2674938,5117
1354000,0.65,192,2713882,6822
1354000,0.65,240,2754187,8528
1354000,0.8,100,4831943,4373
1354000,0.8,144,4784390,6298
1354000,0.8,192,4767217,8397
1354000,0.8,240,4755993,10496
1379000,0.2,100,861701,1093
1379000,0.2,144,917928,1574
1379000,0.2,192,983513,2099
1379000,0.2,240,1064147,2624
1379000,0.35,100,1224459,1913
1379000,0.35,144,1279624,2755
1379000,0.35,192,1352309,3674
1379000,0.35,240,1407347,4592
1379000,0.5,100,1744031,2733
1379000,0.5,144,1788941,3936
1379000,0.5,192,1838061,5248
1379000,0.5,240,1897704,6560
1379000,0.65,100,2666831,3553
1379000,0.65,144,2676756,5117
1379000,0.65,192,2699352,6822
1379000,0.65,240,2764301,8528
1379000,0.8,100,4809770,4373
1379000,0.8,144,4784610,6298
1379000,0.8,192,4764320,8397
1379000,0.8,240,4792813,10496
1404000,0.2,100,845597,1093
1404000,0.2,144,908223,1574
1404000,0.2,192,972832,2099
1404000,0.2,240,1047799,2624
1404000,0.35,100,1222318,1913
1404000,0.35,144,1271871,2755
1404000,0.35,192,1327720,3674
1404000,0.35,240,1400570,4592
1404000,0.5,100,1763118,2733
1404000,0.5,144,1783927,3936
1404000,0.5,192,1839879,5248
1404000,0.5,240,1898491,6560
1404000,0.65,100,2703108,3553
1404000,0.65,144,2707177,5117
1404000,0.65,192,2738990,6822
1404000,0.65,240,2780027,8528
1404000,0.8,100,4872021,4373
1404000,0.8,144,4827585,6298
1404000,0.8,192,4835056,8397
1404000,0.8,240,4840424,10496
1429000,0.2,100,869808,1093
1429000,0.2,144,932623,1574
1429000,0.2,192,994115,2099
1429000,0.2,240,1068838,2624
1429000,0.35,100,1269953,1913
1429000,0.35,144,1314626,2755
1429000,0.35,192,1367547,3674
1429000,0.35,240,1430149,4592
1429000,0.5,100,1812028,2733
1429000,0.5,144,1846446,3936
1429000,0.5,192,1898982,5248
1429000,0.5,240,1959113,6560
1429000,0.65,100,2758850,3553
1429000,0.65,144,2796103,5117
1429000,0.65,192,2817235,6822
1429000,0.65,240,2853148,8528
1429000,0.8,100,4971793,4373
1429000,0.8,144,4939612,6298
1429000,0.8,192,4920243,8397
1429000,0.8,240,4934828,10496
1454000,0.2,100,858828,1093
1454000,0.2,144,919258,1574
1454000,0.2,192,978255,2099
1454000,0.2,240,1055961,2624
1454000,0.35,100,1243900,1913
1454000,0.35,144,1280765,2755
1454000,0.35,192,1341006,3674
1454000,0.35,240,1413612,4592
1454000,0.5,100,1774263,2733
1454000,0.5,144,1805564,3936
1454000,0.5,192,1840044,5248
1454000,0.5,240,1915736,6560
1454000,0.65,100,2708452,3553
1454000,0.65,144,2716669,5117
1454000,0.65,192,2740729,6822
1454000,0.65,240,2789574,8528
1454000,0.8,100,4942300,4373
1454000,0.8,144,4869316,6298
1454000,0.8,192,4871663,8397
1454000,0.8,240,4873615,10496
1479000,0.2,100,862543,1093
1479000,0.2,144,935362,1574
1479000,0.2,192,995878,2099
1479000,0.2,240,1065721,2624
1479000,0.35,100,1266348,1913
1479000,0.35,144,1313272,2755
1479000,0.35,192,1363753,3674
1479000,0.35,240,1429527,4592
1479000,0.5,100,1815310,2733
1479000,0.5,144,1840511,3936
1479000,0.5,192,1897683,5248
1479000,0.5,240,1954886,6560
1479000,0.65,100,2753757,3553
1479000,0.65,144,2756362,5117
1479000,0.65,192,2783539,6822
1479000,0.65,240,2841900,8528
1479000,0.8,100,5002544,4373
1479000,0.8,144,4937911,6298
1479000,0.8,192,4919518,8397
1479000,0.8,240,4935567,10496
1504000,0.2,100,884802,1093
1504000,0.2,144,950057,1574
1504000,0.2,192,1010762,2099
1504000,0.2,240,1086272,2624
1504000,0.35,100,1272503,1913
1504000,0.35,144,1325771,2755
1504000,0.35,192,1386012,3674
1504000,0.35,240,1454171,4592
1504000,0.5,100,1817616,2733
1504000,0.5,144,1858378,3936
1504000,0.5,192,1907742,5248
1504000,0.5,240,1967629,6560
1504000,0.65,100,2768751,3553
1504000,0.65,144,2781604,5117
1504000,0.65,192,2815613,6822
1504000,0.65,240,2855430,8528
1504000,0.8,100,4965188,4373
1504000,0.8,144,4911047,6298
1504000,0.8,192,4898754,8397
1504000,0.8,240,4894606,10496
1529000,0.2,100,879678,1093
1529000,0.2,144,939565,1574
1529000,0.2,192,1011305,2099
1529000,0.2,240,1076756,2624
1529000,0.35,100,1259870,1913
1529000,0.35,144,1312650,2755
1529000,0.35,192,1376984,3674
1529000,0.35,240,1431778,4592
1529000,0.5,100,1823039,2733
1529000,0.5,144,1854584,3936
1529000,0.5,192,1908096,5248
1529000,0.5,240,1957924,6560
1529000,0.65,100,2756905,3553
1529000,0.65,144,2769270,5117
1529000,0.65,192,2812362,6822
1529000,0.65,240,2856571,8528
1529000,0.8,100,5017679,4373
1529000,0.8,144,4961043,6298
1529000,0.8,192,4941918,8397
1529000,0.8,240,4943870,10496
1554000,0.2,100,878513,1093
1554000,0.2,144,930592,1574
1554000,0.2,192,1003796,2099
1554000,0.2,240,1068759,2624
1554000,0.35,100,1271393,1913
1554000,0.35,144,1316310,2755
1554000,0.35,192,1379235,3674
1554000,0.35,240,1442569,4592
1554000,0.5,100,1823826,2733
1554000,0.5,144,1853907,3936
1554000,0.5,192,1907663,5248
1554000,0.5,240,1959742,6560
1554000,0.65,100,2777755,3553
1554000,0.65,144,2791584,5117
1554000,0.65,192,2813692,6822
1554000,0.65,240,2871321,8528
1554000,0.8,100,5007163,4373
1554000,0.8,144,4962971,6298
1554000,0.8,192,4950001,8397
1554000,0.8,240,4952386,10496
1579000,0.2,100,891256,1093
1579000,0.2,144,939486,1574
1579000,0.2,192,1009707,2099
1579000,0.2,240,1086437,2624
1579000,0.35,100,1275895,1913
1579000,0.35,144,1312028,2755
1579000,0.35,192,1381297,3674
1579000,0.35,240,1445119,4592
1579000,0.5,100,1831799,2733
1579000,0.5,144,1860361,3936
1579000,0.5,192,1920949,5248
1579000,0.5,240,1980592,6560
1579000,0.65,100,2786948,3553
1579000,0.65,144,2797849,5117
1579000,0.65,192,2820445,6822
1579000,0.65,240,2879050,8528
1579000,0.8,100,5051602,4373
1579000,0.8,144,5009905,6298
1579000,0.8,192,4970772,8397
1579000,0.8,240,4997801,10496
1604000,0.2,100,874908,1093
1604000,0.2,144,937479,1574
1604000,0.2,192,1000191,2099
1604000,0.2,240,1076378,2624
1604000,0.35,100,1257839,1913
1604000,0.35,144,1315688,2755
1604000,0.35,192,1363729,3674
1604000,0.35,240,1443655,4592
1604000,0.5,100,1810327,2733
1604000,0.5,144,1869932,3936
1604000,0.5,192,1896604,5248
1604000,0.5,240,1970588,6560
1604000,0.65,100,2763146,3553
1604000,0.65,144,2784484,5117
1604000,0.65,192,2813912,6822
1604000,0.65,240,2854461,8528
1604000,0.8,100,5062503,4373
1604000,0.8,144,5024222,6298
1604000,0.8,192,4994361,8397
1604000,0.8,240,4997722,10496
1629000,0.2,100,898576,1093
1629000,0.2,144,960470,1574
1629000,0.2,192,1025811,2099
1629000,0.2,240,1092537,2624
