height,sample_count,optimization_type,size
904000,206,none,965450
929000,357,none,1945363
954000,393,none,2335059
979000,414,none,2361590
1004000,431,none,2481109
1029000,445,none,2772727
1054000,447,none,2567441
1079000,448,none,2847852
1104000,458,none,2550478
1129000,467,none,2767157
1154000,465,none,2733619
1179000,477,none,3085883
1204000,470,none,2930802
1229000,495,none,3001961
1254000,492,none,3171864
1279000,505,none,3215523
1304000,515,none,3373697
1329000,514,none,3516626
1354000,524,none,3244628
1379000,511,none,3293933
1404000,515,none,3407369
1429000,521,none,3451375
1454000,513,none,3268667
1479000,514,none,3527606
1504000,508,none,3456760
1529000,507,none,3495989
1554000,513,none,3730315
1579000,511,none,3242937
1604000,508,none,2987060
1629000,501,none,3350235
1654000,513,none,3347235
1679000,501,none,3345843
1704000,523,none,2997209
1729000,527,none,3258021
1754000,535,none,3251873
1779000,532,none,3583304
1804000,522,none,3212362
1829000,524,none,3189048
1854000,529,none,3503595
1879000,526,none,3584438
1904000,528,none,3374952
1929000,537,none,3613103
1954000,532,none,3236336
1979000,531,none,3501997
2004000,530,none,3525854
2029000,536,none,3575716
2054000,541,none,3561839
2079000,541,none,3937056
2104000,550,none,3492550
2129000,551,none,3824201
2154000,559,none,3993001
2179000,556,none,3878400
2204000,561,none,3814747
2229000,556,none,3528992
2254000,547,none,3637565
2279000,546,none,3425474
2304000,556,none,3623664
2329000,554,none,3898054
2354000,552,none,3540240
2379000,558,none,3907058
2404000,555,none,3692173
2429000,553,none,3609347
2454000,562,none,4040258
2479000,570,none,3841106
2504000,573,none,3822483
2529000,570,none,3912598
2554000,576,none,3941476
2579000,586,none,4506398
2604000,565,none,4223911
2629000,571,none,4158849
2654000,577,none,4071095
2679000,566,none,3910426
2704000,569,none,3722955
2729000,560,none,3709583
2754000,562,none,3798753
2779000,572,none,3926183
2804000,574,none,3816249
2829000,578,none,3768889
2854000,580,none,3999335
2879000,574,none,3745489
2904000,585,none,3919090
2929000,588,none,4083467
2954000,596,none,4025591
2979000,591,none,4251504
3004000,583,none,3814060
3029000,585,none,3909330
3054000,577,none,4293190
3079000,584,none,3952408
904000,206,none,964962
929000,357,none,1937067
954000,393,none,2370195
979000,414,none,2359394
1004000,431,none,2462565
1029000,445,none,2773947
1054000,447,none,2562805
1079000,448,none,2850292
1104000,458,none,2567070
1129000,467,none,2750809
1154000,465,none,2710927
1179000,477,none,3050503
1204000,470,none,2949590
1229000,495,none,3008061
1254000,492,none,3204560
1279000,505,none,3231383
1304000,515,none,3383457
1329000,514,none,3519310
1354000,524,none,3256340
1379000,511,none,3349565
1404000,515,none,3387849
1429000,521,none,3451619
1454000,513,none,3260371
1479000,514,none,3525410
1504000,508,none,3464080
1529000,507,none,3483545
1554000,513,none,3703475
1579000,511,none,3251965
1604000,508,none,2964612
1629000,501,none,3312415
1654000,513,none,3331375
1679000,501,none,3351455
1704000,523,none,2952557
1729000,527,none,3299013
1754000,535,none,3246505
1779000,532,none,3596480
1804000,522,none,3224318
1829000,524,none,3242240
1854000,529,none,3513355
1879000,526,none,3576874
1904000,528,none,3391300
1929000,537,none,3578943
1954000,532,none,3266836
1979000,531,none,3492481
2004000,530,none,3524878
2029000,536,none,3609388
2054000,541,none,3568427
2079000,541,none,3918079
2104000,550,none,3496942
2129000,551,none,3789065
2154000,559,none,3974701
2179000,556,none,3894260
2204000,561,none,3806695
2229000,556,none,3533140
2254000,547,none,3652449
2279000,546,none,3404490
2304000,556,none,3653188
2329000,554,none,3877802
2354000,552,none,3560492
2379000,558,none,3924626
2404000,555,none,3687537
2429000,553,none,3602515
2454000,562,none,4030498
2479000,570,none,3806946
2504000,573,none,3809551
2529000,570,none,3924554
2554000,576,none,3935620
2579000,586,none,4513230
2604000,565,none,4248555
2629000,571,none,4153481
2654000,577,none,4053039
2679000,566,none,3887246
2704000,569,none,3720515
2729000,560,none,3682255
2754000,562,none,3727993
2779000,572,none,3936919
2804000,574,none,3776721
2829000,578,none,3764497
2854000,580,none,3972983
2879000,574,none,3781601
2904000,585,none,3892006
2929000,588,none,4031983
2954000,596,none,4024859
2979000,591,none,4319824
3004000,583,none,3863104
3029000,585,none,3919090
3054000,577,none,4260250
3079000,584,none,3956123
904000,206,none,963986
929000,357,none,1945119
954000,393,none,2366047
