height,sample_count,optimization_type,size
904000,538,none,2486018
929000,540,none,2835780
954000,541,none,3153279
979000,542,none,2982534
1004000,544,none,3020220
1029000,545,none,3343331
1054000,546,none,3062783
1079000,547,none,3426886
1104000,548,none,2958461
1129000,550,none,3164019
1154000,551,none,3207262
1179000,552,none,3447657
1204000,553,none,3424288
1229000,554,none,3335039
1254000,555,none,3530782
1279000,556,none,3499605
1304000,557,none,3608484
1329000,558,none,3682715
1354000,559,none,3369474
1379000,560,none,3554725
1404000,560,none,3655009
1429000,561,none,3636032
1454000,562,none,3553615
1479000,563,none,3784006
1504000,564,none,3814128
1529000,565,none,3841456
1554000,566,none,4062331
1579000,566,none,3583359
1604000,567,none,3279146
1629000,568,none,3763297
1654000,569,none,3670388
1679000,569,none,3767012
1704000,570,none,3230807
1729000,571,none,3538491
1754000,572,none,3438561
1779000,572,none,3814998
1804000,573,none,3507235
1829000,574,none,3475948
1854000,574,none,3775092
1879000,575,none,3891047
1904000,576,none,3669062
1929000,576,none,3838642
1954000,577,none,3477577
1979000,578,none,3801908
2004000,578,none,3794588
2029000,579,none,3839539
2054000,579,none,3768779
2079000,580,none,4191198
2104000,581,none,3654209
2129000,581,none,4094440
2154000,582,none,4095904
2179000,582,none,4027639
2204000,583,none,3910031
2229000,584,none,3631438
2254000,584,none,3817610
2279000,585,none,3587329
2304000,585,none,3809613
2329000,586,none,4030000
2354000,586,none,3731344
2379000,587,none,4097643
2404000,587,none,3880483
2429000,588,none,3816122
2454000,588,none,4182122
2479000,589,none,3973557
2504000,589,none,3905780
2529000,590,none,4045348
2554000,590,none,4025096
2579000,591,none,4470207
2604000,591,none,4366861
2629000,592,none,4229922
2654000,592,none,4116462
2679000,593,none,4062593
2704000,593,none,3842505
2729000,594,none,3813036
2754000,594,none,3917523
2779000,595,none,4033667
2804000,595,none,3911911
2829000,595,none,3806558
2854000,596,none,4084962
2879000,596,none,3870486
2904000,597,none,3931541
2929000,597,none,4092093
2954000,598,none,4020412
2979000,598,none,4303019
3004000,598,none,3875720
3029000,599,none,3931651
3054000,599,none,4430875
