height,sample_count,optimization_type,size
904000,703,none,3243441
929000,705,none,3711299
954000,707,none,4150609
979000,709,none,3905743
1004000,712,none,3998140
1029000,714,none,4434278
1054000,715,none,4039105
1079000,717,none,4519108
1104000,719,none,3913854
1129000,721,none,4220916
1154000,723,none,4249141
1179000,725,none,4538092
1204000,726,none,4461775
1229000,728,none,4416257
1254000,730,none,4736007
1279000,731,none,4691410
1304000,733,none,4756668
1329000,735,none,4902446
1354000,736,none,4522349
1379000,738,none,4717171
1404000,739,none,4814094
1429000,741,none,4918392
1454000,742,none,4677619
1479000,743,none,5078322
1504000,745,none,5066232
1529000,746,none,5121919
1554000,747,none,5386714
1579000,749,none,4858131
1604000,750,none,4394287
1629000,751,none,5077298
1654000,753,none,4898367
1679000,754,none,5062335
1704000,755,none,4386861
1729000,756,none,4675702
1754000,758,none,4590711
1779000,759,none,5103355
1804000,760,none,4724045
1829000,761,none,4676221
1854000,762,none,5084976
1879000,763,none,5222159
1904000,764,none,4946006
1929000,766,none,5150100
1954000,767,none,4664595
1979000,768,none,5089698
2004000,769,none,5102929
2029000,770,none,5140316
2054000,771,none,5056679
2079000,772,none,5619398
2104000,773,none,4943329
2129000,774,none,5406008
2154000,775,none,5527087
2179000,776,none,5415634
2204000,777,none,5242205
2229000,778,none,4941164
2254000,779,none,5153011
2279000,779,none,4888759
2304000,780,none,5091334
2329000,781,none,5510825
2354000,782,none,5072900
2379000,783,none,5499467
2404000,784,none,5266990
2429000,785,none,5028657
2454000,786,none,5657500
2479000,787,none,5294727
2504000,787,none,5211767
2529000,788,none,5469242
2554000,789,none,5410737
2579000,790,none,5986144
2604000,791,none,5868890
2629000,792,none,5759145
2654000,792,none,5606590
2679000,793,none,5490989
2704000,794,none,5267296
2729000,795,none,5301511
2754000,795,none,5383117
2779000,796,none,5525125
2804000,797,none,5238913
2829000,798,none,5209444
2854000,798,none,5522795
2879000,799,none,5191443
2904000,800,none,5367666
2929000,801,none,5529981
2954000,801,none,5437749
2979000,802,none,5819176
3004000,803,none,5334269
3029000,804,none,5270530
3054000,804,none,6012046
3079000,805,none,5514939
904000,703,none,3242953
929000,705,none,3721303
954000,707,none,4200873
979000,709,none,3895739
1004000,712,none,4020100
1029000,714,none,4444038
1054000,715,none,4055398
1079000,717,none,4522823
1104000,719,none,3913122
1129000,721,none,4180900
1154000,723,none,4240302
1179000,725,none,4589332
1204000,726,none,4447623
1229000,728,none,4402593
1254000,730,none,4700627
1279000,731,none,4656762
1304000,733,none,4751788
1329000,735,none,4926846
1354000,736,none,4496729
1379000,738,none,4715518
1404000,739,none,4836054
1429000,741,none,4944988
1454000,742,none,4714951
1479000,743,none,5026838
1504000,745,none,5052324
1529000,746,none,5091663
1554000,747,none,5373538
1579000,749,none,4828796
1604000,750,none,4387943
1629000,751,none,5049238
1654000,753,none,4891236
1679000,754,none,5095763
1704000,755,none,4322579
1729000,756,none,4712790
1754000,758,none,4600904
1779000,759,none,5142206
1804000,760,none,4721062
1829000,761,none,4677197
1854000,762,none,5084244
1879000,763,none,5208007
1904000,764,none,4927706
1929000,766,none,5163276
1954000,767,none,4689971
1979000,768,none,5009910
2004000,769,none,5094633
2029000,770,none,5177892
2054000,771,none,5044235
2079000,772,none,5617690
2104000,773,none,4912585
2129000,774,none,5400640
2154000,775,none,5503663
2179000,776,none,5426126
2204000,777,none,5284173
2229000,778,none,4930428
2254000,779,none,5180394
2279000,779,none,4879975
2304000,780,none,5130618
2329000,781,none,5456413
2354000,782,none,5013852
2379000,783,none,5486291
