,chaintip,c,L,m,N_a,protocol
0,904000,0.18948494540649574,131.93660291253394,166.08646954248456,25.0,interactive
1,929000,0.18926325556468632,132.09114429216564,166.50214477461478,25.0,interactive
2,954000,0.18904816305803016,132.24143305918295,166.90653515120238,25.0,interactive
3,979000,0.1888393047089414,132.38769353939625,167.30023171210706,25.0,interactive
4,1004000,0.18863634602096668,132.5301328579662,167.68378039735077,25.0,interactive
5,1029000,0.1884389782623286,132.66894264941905,168.05768651435628,25.0,interactive
6,1054000,0.18824691590904138,132.8043005606514,168.42241866597786,25.0,interactive
7,1079000,0.18805989439586587,132.93637157625446,168.77841221553226,25.0,interactive
8,1104000,0.18787766813182938,133.06530919075536,169.12607235276928,25.0,interactive
9,1129000,0.18770000874395418,133.19125644849098,169.46577681465558,25.0,interactive
10,1154000,0.18752670351852085,133.31434686863625,169.79787830655104,25.0,interactive
11,1179000,0.18735755401388518,133.4347052702622,170.12270666248753,25.0,interactive
12,1204000,0.1871923748227607,133.55244851009954,170.440570777555,25.0,interactive
13,1229000,0.18703099246511637,133.66768614385026,170.75176034062812,25.0,interactive
14,1254000,0.18687324439554923,133.7805210203512,171.05654739166985,25.0,interactive
15,1279000,0.18671897811126664,133.89104981659867,171.3551877244897,25.0,interactive
16,1304000,0.18656805034872834,133.99936352055255,171.6479221529886,25.0,interactive
17,1329000,0.18642032635861466,134.10554786771365,171.9349776565187,25.0,interactive
18,1354000,0.18627567925016986,134.2096837366771,172.2165684179376,25.0,interactive
19,1379000,0.18613398939712672,134.31184750820108,172.49289676619145,25.0,interactive
20,1404000,0.1859951438984296,134.41211139174843,172.76415403376646,25.0,interactive
21,1429000,0.18585903608781973,134.51054372297142,173.03052133806494,25.0,interactive
22,1454000,0.18572556508708188,134.60720923518608,173.29217029465877,25.0,interactive
23,1479000,0.1855946353983901,134.70216930751252,173.54926366942192,25.0,interactive
24,1504000,0.18546615653172865,134.79548219204682,173.8019559757146,25.0,interactive
25,1529000,0.18534004266384116,134.88720322215272,174.05039402208138,25.0,interactive
26,1554000,0.1852162123255733,134.97738500372185,174.29471741529989,25.0,interactive
27,1579000,0.18509458811482596,135.06607759104716,174.53505902307367,25.0,interactive
28,1604000,0.18497509643265325,135.15332864876834,174.77154540019254,25.0,interactive
29,1629000,0.18485766724031052,135.23918360118978,175.00429718156397,25.0,interactive
30,1654000,0.18474223383529062,135.3236857701368,175.2334294451567,25.0,interactive
31,1679000,0.18462873264460727,135.40687650238394,175.45905204757818,25.0,interactive
32,1704000,0.18451710303375682,135.48879528759093,175.68126993472245,25.0,interactive
33,1729000,0.18440728712996027,135.56947986757896,175.90018342967628,25.0,interactive
34,1754000,0.18429922965842768,135.64896633769948,176.1158884998534,25.0,interactive
35,1779000,0.18419287779051463,135.72728924097098,176.32847700512562,25.0,interactive
36,1804000,0.18408818100275248,135.80448165559417,176.53803692855203,25.0,interactive
37,1829000,0.18398509094583484,135.88057527639558,176.74465259114686,25.0,interactive
38,1854000,0.18388356132273134,135.95560049069783,176.94840485199435,25.0,interactive
39,1879000,0.1837835477751786,136.02958644906758,177.14937129489053,25.0,interactive
40,1904000,0.18368500777786995,136.10256113134974,177.34762640259012,25.0,interactive
41,1929000,0.18358790053972668,136.17455140836057,177.54324171962594,25.0,interactive
42,1954000,0.18349218691169378,136.2455830995754,177.73628600459426,25.0,interactive
43,1979000,0.1833978293005491,136.3156810271208,177.92682537270926,25.0,interactive
44,2004000,0.18330479158826443,136.3848690663499,178.11492342936322,25.0,interactive
45,2029000,0.18321303905649639,136.4531701932573,178.300641395366,25.0,interactive
46,2054000,0.18312253831582054,136.520606528968,178.48403822447628,25.0,interactive
47,2079000,0.1830332572393596,136.58719938151208,178.6651707137875,25.0,interactive
48,2104000,0.1829451649004799,136.6529692850845,178.8440936074823,25.0,interactive
49,2129000,0.18285823151426508,136.7179360369659,179.0208596944281,25.0,interactive
50,2154000,0.18277242838249397,136.78211873227215,179.19551990004774,25.0,interactive
51,2179000,0.18268772784187604,136.8455357966823,179.3681233728611,25.0,interactive
52,2204000,0.18260410321531662,136.90820501728479,179.53871756606668,25.0,interactive
53,2229000,0.18252152876600097,136.97014357167083,179.70734831449855,25.0,interactive
54,2254000,0.18243997965410697,137.0313680553911,179.87405990727018,25.0,interactive
55,2279000,0.18235943189596554,137.09189450788747,180.03889515639057,25.0,interactive
56,2304000,0.18227986232550736,137.15173843699804,180.2018954616211,25.0,interactive
57,2329000,0.18220124855784436,137.2109148421292,180.3631008718112,25.0,interactive
58,2354000,0.1821235689548443,137.26943823618183,180.522550142947,25.0,interactive
59,2379000,0.18204680259257267,137.32732266630853,180.6802807931159,25.0,interactive
60,2404000,0.18197092923047845,137.38458173357907,180.8363291545843,25.0,interactive
61,2429000,0.18189592928221676,137.4412286116188,180.99073042316869,25.0,interactive
62,2454000,0.18182178378800248,137.49727606428655,181.1435187050658,25.0,interactive
