height,c,L,size,attack_cost
904000,0.2,100,184896,1093
904000,0.2,144,262468,1574
904000,0.2,192,346604,2099
904000,0.2,240,432448,2624
904000,0.35,100,197048,1913
904000,0.35,144,262468,2755
904000,0.35,192,346604,3674
904000,0.35,240,432448,4592
904000,0.5,100,231985,2733
904000,0.5,144,276139,3936
904000,0.5,192,346604,5248
904000,0.5,240,432448,6560
904000,0.65,100,285150,3553
904000,0.65,144,317152,5117
904000,0.65,192,357237,6822
904000,0.65,240,432448,8528
904000,0.8,100,412746,4373
904000,0.8,144,403735,6298
904000,0.8,192,417997,8397
904000,0.8,240,440043,10496
929000,0.2,100,400246,1093
929000,0.2,144,450538,1574
929000,0.2,192,527024,2099
929000,0.2,240,599905,2624
929000,0.35,100,528199,1913
929000,0.35,144,583096,2755
929000,0.35,192,640873,3674
929000,0.35,240,705049,4592
929000,0.5,100,719204,2733
929000,0.5,144,759430,3936
929000,0.5,192,804921,5248
929000,0.5,240,874788,6560
929000,0.65,100,1036406,3553
929000,0.65,144,1065291,5117
929000,0.65,192,1090090,6822
929000,0.65,240,1137124,8528
929000,0.8,100,1797904,4373
929000,0.8,144,1771569,6298
929000,0.8,192,1760565,8397
929000,0.8,240,1790316,10496
954000,0.2,100,482691,1093
954000,0.2,144,538107,1574
954000,0.2,192,601173,2099
954000,0.2,240,686986,2624
954000,0.35,100,642811,1913
954000,0.35,144,699471,2755
954000,0.35,192,762860,3674
954000,0.35,240,824840,4592
954000,0.5,100,885376,2733
954000,0.5,144,918715,3936
954000,0.5,192,964505,5248
954000,0.5,240,1038276,6560
954000,0.65,100,1261338,3553
954000,0.65,144,1293395,5117
954000,0.65,192,1355770,6822
954000,0.65,240,1396460,8528
954000,0.8,100,2194569,4373
954000,0.8,144,2200442,6298
954000,0.8,192,2246290,8397
954000,0.8,240,2257985,10496
979000,0.2,100,504232,1093
979000,0.2,144,577948,1574
979000,0.2,192,649310,2099
979000,0.2,240,724631,2624
979000,0.35,100,709798,1913
979000,0.35,144,755234,2755
979000,0.35,192,823991,3674
979000,0.35,240,881335,4592
979000,0.5,100,954841,2733
979000,0.5,144,1006779,3936
979000,0.5,192,1078921,5248
979000,0.5,240,1135612,6560
979000,0.65,100,1432383,3553
979000,0.65,144,1472437,5117
979000,0.65,192,1490404,6822
979000,0.65,240,1551346,8528
979000,0.8,100,2507049,4373
979000,0.8,144,2498282,6298
979000,0.8,192,2482831,8397
979000,0.8,240,2495313,10496
1004000,0.2,100,591375,1093
1004000,0.2,144,665823,1574
1004000,0.2,192,742309,2099
1004000,0.2,240,818362,2624
1004000,0.35,100,836081,1913
1004000,0.35,144,895425,2755
1004000,0.35,192,957539,3674
1004000,0.35,240,1021038,4592
1004000,0.5,100,1167772,2733
1004000,0.5,144,1195743,3936
1004000,0.5,192,1261297,5248
1004000,0.5,240,1336532,6560
1004000,0.65,100,1746324,3553
1004000,0.65,144,1768621,5117
1004000,0.65,192,1809036,6822
1004000,0.65,240,1820934,8528
1004000,0.8,100,3106510,4373
1004000,0.8,144,3095791,6298
1004000,0.8,192,3095956,8397
1004000,0.8,240,3099410,10496
1029000,0.2,100,584086,1093
1029000,0.2,144,644681,1574
1029000,0.2,192,712328,2099
1029000,0.2,240,790876,2624
1029000,0.35,100,804110,1913
1029000,0.35,144,869554,2755
1029000,0.35,192,924647,3674
1029000,0.35,240,994191,4592
1029000,0.5,100,1092434,2733
1029000,0.5,144,1144372,3936
1029000,0.5,192,1229446,5248
1029000,0.5,240,1267782,6560
1029000,0.65,100,1652847,3553
1029000,0.65,144,1657332,5117
1029000,0.65,192,1723123,6822
1029000,0.65,240,1759421,8528
1029000,0.8,100,2885973,4373
1029000,0.8,144,2886289,6298
1029000,0.8,192,2923786,8397
1029000,0.8,240,2916205,10496
1054000,0.2,100,601654,1093
1054000,0.2,144,670490,1574
1054000,0.2,192,742584,2099
1054000,0.2,240,803997,2624
1054000,0.35,100,827778,1913
1054000,0.35,144,867303,2755
1054000,0.35,192,949480,3674
1054000,0.35,240,1016151,4592
1054000,0.5,100,1154111,2733
1054000,0.5,144,1197021,3936
1054000,0.5,192,1246904,5248
1054000,0.5,240,1317991,6560
1054000,0.65,100,1750825,3553
1054000,0.65,144,1739694,5117
1054000,0.65,192,1780353,6822
1054000,0.65,240,1843979,8528
1054000,0.8,100,3022637,4373
1054000,0.8,144,3058821,6298
1054000,0.8,192,3044102,8397
1054000,0.8,240,3080929,10496
1079000,0.2,100,620260,1093
1079000,0.2,144,697148,1574
1079000,0.2,192,759238,2099
1079000,0.2,240,832119,2624
1079000,0.35,100,872523,1913
1079000,0.35,144,937967,2755
1079000,0.35,192,999892,3674
1079000,0.35,240,1051624,4592
1079000,0.5,100,1211496,2733
1079000,0.5,144,1249770,3936
1079000,0.5,192,1312396,5248
1079000,0.5,240,1377383,6560
1079000,0.65,100,1808059,3553
1079000,0.65,144,1849632,5117
1079000,0.65,192,1887363,6822
1079000,0.65,240,1939277,8528
1079000,0.8,100,3224048,4373
1079000,0.8,144,3211432,6298
1079000,0.8,192,3204033,8397
1079000,0.8,240,3230612,10496
1104000,0.2,100,508800,1093
1104000,0.2,144,578856,1574
1104000,0.2,192,643819,2099
1104000,0.2,240,731395,2624
1104000,0.35,100,702960,1913
1104000,0.35,144,751324,2755
1104000,0.35,192,807826,3674
1104000,0.35,240,878889,4592
1104000,0.5,100,977675,2733
