height,c,L,size,attack_cost
904000,0.2,100,396549,1093
904000,0.2,144,394841,1574
904000,0.2,192,398745,2099
904000,0.2,240,396305,2624
904000,0.35,100,596727,1913
904000,0.35,144,595751,2755
904000,0.35,192,595995,3674
904000,0.35,240,597459,4592
904000,0.5,100,863174,2733
904000,0.5,144,863906,3936
904000,0.5,192,864638,5248
904000,0.5,240,865126,6560
904000,0.65,100,1287896,3553
904000,0.65,144,1303031,5117
904000,0.65,192,1303275,6822
904000,0.65,240,1303275,8528
904000,0.8,100,2325074,4373
904000,0.8,144,2305815,6298
904000,0.8,192,2306059,8397
904000,0.8,240,2306059,10496
929000,0.2,100,586629,1093
929000,0.2,144,640825,1574
929000,0.2,192,720971,2099
929000,0.2,240,797756,2624
929000,0.35,100,792240,1913
929000,0.35,144,837920,2755
929000,0.35,192,906921,3674
929000,0.35,240,983840,4592
929000,0.5,100,1102648,2733
929000,0.5,144,1150682,3936
929000,0.5,192,1205201,5248
929000,0.5,240,1290196,6560
929000,0.65,100,1629118,3553
929000,0.65,144,1653855,5117
929000,0.65,192,1723794,6822
929000,0.65,240,1773268,8528
929000,0.8,100,2895278,4373
929000,0.8,144,2851430,6298
929000,0.8,192,2873799,8397
929000,0.8,240,2943078,10496
954000,0.2,100,598152,1093
954000,0.2,144,665768,1574
954000,0.2,192,744450,2099
954000,0.2,240,810499,2624
954000,0.35,100,807911,1913
954000,0.35,144,873843,2755
954000,0.35,192,957240,3674
954000,0.35,240,1023124,4592
954000,0.5,100,1124663,2733
954000,0.5,144,1200513,3936
954000,0.5,192,1244296,5248
954000,0.5,240,1322947,6560
954000,0.65,100,1710236,3553
954000,0.65,144,1717893,5117
954000,0.65,192,1790028,6822
954000,0.65,240,1847554,8528
954000,0.8,100,3041166,4373
954000,0.8,144,3018302,6298
954000,0.8,192,3015539,8397
954000,0.8,240,3096042,10496
979000,0.2,100,612548,1093
979000,0.2,144,692419,1574
979000,0.2,192,748598,2099
979000,0.2,240,831538,2624
979000,0.35,100,841394,1913
979000,0.35,144,908546,2755
979000,0.35,192,972423,3674
979000,0.35,240,1031963,4592
979000,0.5,100,1161074,2733
979000,0.5,144,1213256,3936
979000,0.5,192,1281494,5248
979000,0.5,240,1338917,6560
979000,0.65,100,1754998,3553
979000,0.65,144,1776807,5117
979000,0.65,192,1832594,6822
979000,0.65,240,1874992,8528
979000,0.8,100,3119466,4373
979000,0.8,144,3098554,6298
979000,0.8,192,3132879,8397
979000,0.8,240,3153846,10496
