height,sample_count,optimization_type,size
904000,135,none,452805
929000,316,none,1782312
954000,396,none,2183456
979000,439,none,2420793
1004000,544,none,3191508
1029000,482,none,3001490
1054000,481,none,3069267
1079000,504,none,3039788
1104000,485,none,3056067
1129000,567,none,3381437
1154000,210,none,1403702
1179000,485,none,3277619
1204000,604,none,3962240
1229000,524,none,3554508
1254000,610,none,4084326
1279000,507,none,2980905
1304000,439,none,2868829
1329000,516,none,3513076
1354000,505,none,3870907
1379000,568,none,3676488
1404000,499,none,3651465
1429000,535,none,3811313
1454000,547,none,3851989
1479000,568,none,4207432
1504000,588,none,4049444
1529000,427,none,2994317
1554000,545,none,3704747
1579000,572,none,3790845
1604000,569,none,3707043
1629000,526,none,3793250
1654000,578,none,4272886
1679000,525,none,3835163
1704000,297,none,2217103
1729000,631,none,4275069
1754000,637,none,4593331
1779000,477,none,3599747
1804000,552,none,4106756
1829000,584,none,4393752
1854000,565,none,3672227
1879000,573,none,3809551
1904000,587,none,3842285
1929000,582,none,3153930
1954000,612,none,4389921
1979000,591,none,3782969
2004000,636,none,4518176
2029000,526,none,3694726
2054000,648,none,4689825
2079000,642,none,4199354
2104000,628,none,4907160
2129000,555,none,4259906
2154000,721,none,4818823
2179000,613,none,4181600
2204000,620,none,4355713
2229000,602,none,4336478
2254000,640,none,4878540
2279000,597,none,4302531
2304000,682,none,4682234
2329000,602,none,4561934
2354000,681,none,5189400
2379000,694,none,4262970
2404000,693,none,4636235
2429000,611,none,4397485
2454000,635,none,4632258
2479000,617,none,4388055
2504000,672,none,4425240
2529000,554,none,4311390
2554000,584,none,4474324
2579000,622,none,4464702
2604000,707,none,5039062
2629000,710,none,4689087
2654000,725,none,4967395
2679000,645,none,4699908
2704000,709,none,4961336
2729000,664,none,4829840
2754000,598,none,4469915
2779000,684,none,4640864
2804000,709,none,5125847
2829000,593,none,4537228
2854000,719,none,5873525
2879000,648,none,4670061
2904000,634,none,4562907
2929000,680,none,4509317
2954000,701,none,4969924
2979000,583,none,3860609
3004000,735,none,4636404
3029000,750,none,4836278
3054000,655,none,4098864
3079000,586,none,3859066
3104000,663,none,4040256
3129000,763,none,5057325
3154000,654,none,4646290
3179000,522,none,3804550
3204000,166,none,1062906
3229000,749,none,5235651
3254000,709,none,5236623
3279000,785,none,5644190
3304000,766,none,4696370
3329000,788,none,5451296
3354000,709,none,4805963
3379000,588,none,4240548
3404000,771,none,5514777
3429000,697,none,5084439
3454000,660,none,4895500
3479000,739,none,5658197
904000,135,none,452805
929000,316,none,1777188
954000,396,none,2170768
979000,439,none,2393465
1004000,544,none,3162960
1029000,482,none,2966598
1054000,481,none,3044135
1079000,504,none,3028564
1104000,485,none,3048015
1129000,567,none,3402909
1154000,210,none,1404434
1179000,485,none,3279815
1204000,604,none,3921248
1229000,524,none,3549872
1254000,610,none,4094818
1279000,507,none,2979685
1304000,439,none,2856629
1329000,516,none,3506488
1354000,505,none,3867247
1379000,568,none,3633056
1404000,499,none,3638533
1429000,535,none,3815705
1454000,547,none,3844669
1479000,568,none,4162780
1504000,588,none,4021384
1529000,427,none,2992365
1554000,545,none,3724023
1579000,572,none,3796024
1604000,569,none,3728027
1629000,526,none,3763482
1654000,578,none,4239214
1679000,525,none,3846875
1704000,297,none,2221983
1729000,631,none,4246277
1754000,637,none,4657015
1779000,477,none,3626831
1804000,552,none,4107000
1829000,584,none,4388384
1854000,565,none,3689307
1879000,573,none,3786859
1904000,587,none,3818861
1929000,582,none,3160274
1954000,612,none,4392660
1979000,591,none,3787550
2004000,636,none,4555996
2029000,526,none,3699118
2054000,648,none,4712517
2079000,642,none,4202471
2104000,628,none,4907349
2129000,555,none,4256978
2154000,721,none,4832487
2179000,613,none,4179215
2204000,620,none,4326677
2229000,602,none,4342279
2254000,640,none,4853164
2279000,597,none,4276911
2304000,682,none,4634599
2329000,602,none,4547782
2354000,681,none,5212879
2379000,694,none,4308598
2404000,693,none,4649899
2429000,611,none,4376934
2454000,635,none,4617429
2479000,617,none,4384395
2504000,672,none,4430608
2529000,554,none,4298458
2554000,584,none,4485060
