height,sample_count,optimization_type,size
904000,538,none,2108062
929000,540,none,2857984
954000,541,none,2957103
979000,542,none,2923242
1004000,544,none,3243968
1029000,545,none,3203327
1054000,546,none,3267255
1079000,547,none,3133842
1104000,548,none,3443289
1129000,550,none,3225995
1154000,551,none,3655490
1179000,552,none,3517929
1204000,553,none,3548972
1229000,554,none,3612467
1254000,555,none,3735986
1279000,556,none,3532545
1304000,557,none,3466720
1329000,558,none,3626595
1354000,559,none,4108062
1379000,560,none,3580101
1404000,560,none,3889005
1429000,561,none,3693860
1454000,562,none,3975003
1479000,563,none,4013610
1504000,564,none,3777961
1529000,565,none,3744344
1554000,566,none,3723903
1579000,566,none,3656071
1604000,567,none,3528270
1629000,568,none,3770617
1654000,569,none,3914388
1679000,569,none,3794584
1704000,570,none,3933719
1729000,571,none,3794694
1754000,572,none,4113169
1779000,572,none,4037529
1804000,573,none,4073208
1829000,574,none,4121331
1854000,574,none,3743671
1879000,575,none,3720491
1904000,576,none,3727134
1929000,576,none,3662230
1954000,577,none,4033897
1979000,578,none,3548880
2004000,578,none,3979052
2029000,579,none,3921523
2054000,579,none,4082319
2079000,580,none,3850873
2104000,581,none,4278849
2129000,581,none,4104633
2154000,582,none,3795595
2179000,582,none,3760648
2204000,583,none,3883734
2229000,584,none,3977186
2254000,584,none,4155117
2279000,585,none,3932345
2304000,585,none,3878665
2329000,586,none,4192016
2354000,586,none,4326460
2379000,587,none,3615499
2404000,587,none,3873651
2429000,588,none,4133078
2454000,588,none,4244586
2479000,589,none,4100681
2504000,589,none,3832769
2529000,590,none,4311796
2554000,590,none,4365232
2579000,591,none,4139587
2604000,591,none,4430679
2629000,592,none,3994462
2654000,592,none,4125246
2679000,593,none,4183373
2704000,593,none,4081381
2729000,594,none,4184648
2754000,594,none,4426940
2779000,595,none,3987063
2804000,595,none,4241311
2829000,595,none,4349647
2854000,596,none,4790909
2879000,596,none,4246978
2904000,597,none,4018893
2929000,597,none,4018649
2954000,598,none,4311748
2979000,598,none,3816672
3004000,598,none,3760064
3029000,599,none,3832587
3054000,599,none,3795011
3079000,600,none,3866369
3104000,600,none,3798592
3129000,601,none,3927369
3154000,601,none,4037657
3179000,601,none,4085969
3204000,602,none,4052108
3229000,602,none,4142443
3254000,602,none,4199484
3279000,603,none,4210086
3304000,603,none,3706171
3329000,604,none,4103458
3354000,604,none,3912162
3379000,604,none,4003662
3404000,605,none,4126937
3429000,605,none,4093997
3454000,605,none,4112053
3479000,606,none,4324632
904000,538,none,2108062
929000,540,none,2835536
954000,541,none,2947831
979000,542,none,2934222
1004000,544,none,3254948
1029000,545,none,3110607
1054000,546,none,3285555
1079000,547,none,3154582
1104000,548,none,3460125
1129000,550,none,3213551
1154000,551,none,3642070
1179000,552,none,3542573
1204000,553,none,3550192
1229000,554,none,3576843
1254000,555,none,3740622
1279000,556,none,3497165
1304000,557,none,3468672
1329000,558,none,3598047
1354000,559,none,4087810
1379000,560,none,3570585
1404000,560,none,3932681
1429000,561,none,3716308
1454000,562,none,3968415
1479000,563,none,4023858
1504000,564,none,3793089
1529000,565,none,3766792
1554000,566,none,3752207
1579000,566,none,3640455
1604000,567,none,3577314
1629000,568,none,3820149
1654000,569,none,3923660
1679000,569,none,3810688
1704000,570,none,3944455
1729000,571,none,3803722
1754000,572,none,4090477
1779000,572,none,4051437
1804000,573,none,4092728
1829000,574,none,4086195
1854000,574,none,3724340
1879000,575,none,3676815
1904000,576,none,3718649
1929000,576,none,3660278
1954000,577,none,4020233
1979000,578,none,3579380
2004000,578,none,3947143
2029000,579,none,3852227
2054000,579,none,4104523
2079000,580,none,3853502
2104000,581,none,4306909
2129000,581,none,4121957
2154000,582,none,3835800
2179000,582,none,3771872
2204000,583,none,3890999
2229000,584,none,3931802
2254000,584,none,4153653
2279000,585,none,3907701
2304000,585,none,3889889
2329000,586,none,4219832
2354000,586,none,4308892
2379000,587,none,3602378
2404000,587,none,3885363
2429000,588,none,4083790
2454000,588,none,4206522
2479000,589,none,4057737
2504000,589,none,3860585
2529000,590,none,4338392
2554000,590,none,4355960
2579000,591,none,4136470
2604000,591,none,4486799
2629000,592,none,3979334
2654000,592,none,4109630
2679000,593,none,4156289
2704000,593,none,4100413
2729000,594,none,4217832
2754000,594,none,4414984
2779000,595,none,4013415
2804000,595,none,4229599
2829000,595,none,4333299
2854000,596,none,4775482
2879000,596,none,4230874
2904000,597,none,4032801
2929000,597,none,4049881
2954000,598,none,4298572
2979000,598,none,3807943
3004000,598,none,3827652
3029000,599,none,3820198
3054000,599,none,3805015
3079000,600,none,3832642
3104000,600,none,3809706
3129000,601,none,3954697
3154000,601,none,4047228
3179000,601,none,4066693
3204000,602,none,4076807
3229000,602,none,4084316
3254000,602,none,4191920
3279000,603,none,4179287
3304000,603,none,3773326
3329000,604,none,4087842
3354000,604,none,3926070
3379000,604,none,4030990
3404000,605,none,4079357
3429000,605,none,4111565
3454000,605,none,4092777
3479000,606,none,4329512
904000,538,none,2108062
929000,540,none,2835048
954000,541,none,2953931
979000,542,none,2953254
1004000,544,none,3255192
1029000,545,none,3174291
1054000,546,none,3292875
1079000,547,none,3119934
1104000,548,none,3453049
1129000,550,none,3212087
1154000,551,none,3643534
1179000,552,none,3514025
1204000,553,none,3540188
1229000,554,none,3581479
1254000,555,none,3753121
1279000,556,none,3472820
1304000,557,none,3515276
1329000,558,none,3618543
1354000,559,none,4102450
1379000,560,none,3546185
1404000,560,none,3876805
1429000,561,none,3756568
1454000,562,none,3949383
1479000,563,none,4067046
1504000,564,none,3782841
1529000,565,none,3758740
1554000,566,none,3755867
1579000,566,none,3623375
1604000,567,none,3565846
1629000,568,none,3775009
1654000,569,none,3933176
1679000,569,none,3810200
1704000,570,none,3930059
1729000,571,none,3782305
1754000,572,none,4092673
1779000,572,none,4048509
1804000,573,none,4047100
1829000,574,none,4108155
1854000,574,none,3671203
1879000,575,none,3676327
1904000,576,none,3700782
1929000,576,none,3654965
1954000,577,none,4020477
1979000,578,none,3627747
2004000,578,none,3963436
2029000,579,none,3862475
2054000,579,none,4072370
2079000,580,none,3797138
2104000,581,none,4321360
2129000,581,none,4122933
